Time [s],Channel 0,Channel 1
0.000000000,0,1
0.008751760,0,0
0.012000450,1,0
0.028069010,1,1
0.030967430,0,1
0.048265360,0,0
0.051439090,1,0
0.068139430,1,1
0.071241500,0,1
0.087968880,0,0
0.091216190,1,0
0.108591130,1,1
0.111558880,0,1
0.127963600,0,0
0.131075930,1,0
0.148303700,1,1
0.151950590,0,1
0.168027280,0,0
0.171288260,1,0
0.188013970,1,1
0.190957440,0,1
0.208303080,0,0
0.211465760,1,0
0.228281910,1,1
0.231389600,0,1
0.247924060,0,0
0.251095260,1,0
0.268311080,1,1
0.271399700,0,1
0.288135440,0,0
0.291323110,1,0
0.308044470,1,1
0.310960120,0,1
0.328184140,0,0
0.331463690,1,0
0.348046200,1,1
0.350982260,0,1
0.368190190,0,0
0.371372870,1,0
0.388213070,1,1
0.391302800,0,1
0.407963130,0,0
0.411088750,1,0
0.428188030,1,1
0.431272290,0,1
0.448100510,0,0
0.451292650,1,0
0.468276240,1,1
0.471358250,0,1
0.488008720,0,0
0.491265220,1,0
0.508004240,1,1
0.510937500,0,1
0.528169430,0,0
0.531338540,1,0
0.548212750,1,1
0.551323820,0,1
0.567951730,0,0
0.570983270,1,0
0.588144160,1,1
0.591318350,0,1
0.608123580,0,0
0.611391910,1,0
0.628165950,1,1
0.631331800,0,1
0.648226640,0,0
0.651440260,1,0
0.668726020,1,1
0.671945180,0,1
0.688386790,0,0
0.691429670,1,0
0.709985260,1,1
0.713015590,0,1
0.728550190,0,0
0.731514360,1,0
0.748302670,1,1
0.751408800,0,1
0.768580360,0,0
0.771720550,1,0
0.788025460,1,1
0.791155910,0,1
0.808187690,0,0
0.811445100,1,0
0.827979470,1,1
0.831109120,0,1
0.848071830,0,0
0.851176870,1,0
0.868138390,1,1
0.871220710,0,1
0.887982810,0,0
0.890999460,1,0
0.908195730,1,1
0.911307310,0,1
0.928133880,0,0
0.931328380,1,0
0.948033210,1,1
0.950939960,0,1
0.967984040,0,0
0.971183750,1,0
0.988328730,1,1
0.991450490,0,1
1.009051250,0,0
1.012234440,1,0
1.028421680,1,1
1.031521740,0,1
1.047940850,0,0
1.050992850,1,0
1.068263260,1,1
1.071370750,0,1
1.088151680,0,0
1.091325320,1,0
1.108088080,1,1
1.111101840,0,1
1.128002280,0,0
1.131205310,1,0
1.148013860,1,1
1.151860880,0,1
1.168057790,0,0
1.171187280,1,0
1.188278280,1,1
1.191477690,0,1
1.207982790,0,0
1.211012070,1,0
1.228248490,1,1
1.231357330,0,1
1.248191690,0,0
1.251406880,1,0
1.268039610,1,1
1.270947930,0,1
1.287999660,0,0
1.291185600,1,0
1.308010220,1,1
1.310962860,0,1
1.328176750,0,0
1.331350200,1,0
1.348218340,1,1
1.351348180,0,1
1.368468670,0,0
1.371671650,1,0
1.388170620,1,1
1.391235000,0,1
1.408433710,0,0
1.411708710,1,0
1.428083300,1,1
1.430993730,0,1
1.448009650,0,0
1.451236480,1,0
1.468259140,1,1
1.471374240,0,1
1.488072820,0,0
1.491182050,1,0
1.508123580,1,1
1.511261330,0,1
1.527976440,0,0
1.530999090,1,0
1.548323300,1,1
1.551367960,0,1
1.568267000,0,0
1.571434380,1,0
1.588017480,1,1
1.590944210,0,1
