Time [s],Channel 0,Channel 1
0.000000000,1,0
0.002446310,1,1
0.004231780,0,1
0.006520420,0,0
0.008448390,1,0
0.012377890,1,1
0.013533030,0,1
0.016772580,0,0
0.018853320,1,0
0.022299960,1,1
0.024330680,0,1
0.026375250,0,0
0.029535830,1,0
0.031867270,1,1
0.033449000,0,1
0.037615680,0,0
0.038768100,1,0
0.042020770,1,1
0.044296810,0,1
0.047488470,0,0
0.049613100,1,0
0.051824100,1,1
0.053523340,0,1
0.057219790,0,0
0.058851650,1,0
0.062744320,1,1
0.064248780,0,1
0.067261100,0,0
0.069492450,1,0
0.071690000,1,1
0.073407940,0,1
0.077111990,0,0
0.078867990,1,0
0.082577670,1,1
0.084157770,0,1
0.086637810,0,0
0.089487630,1,0
0.092500500,1,1
0.093583320,0,1
0.096817900,0,0
0.099118270,1,0
0.102293350,1,1
0.104195700,0,1
0.106365770,0,0
0.109584390,1,0
0.111871250,1,1
0.113663300,0,1
0.117356120,0,0
0.118933960,1,0
0.121995760,1,1
0.124317930,0,1
0.127528050,0,0
0.129710090,1,0
0.131709060,1,1
0.133628150,0,1
0.137125300,0,0
0.139930080,1,0
0.141509170,1,1
0.145036030,0,1
0.146970200,0,0
0.149050000,1,0
0.151529380,1,1
0.154306450,0,1
0.156976250,0,0
0.158652650,1,0
0.162502770,1,1
0.163742590,0,1
0.166768640,0,0
0.168914050,1,0
0.172800330,1,1
0.174120500,0,1
0.176890280,0,0
0.179493520,1,0
0.182637260,1,1
0.183428790,0,1
0.187251600,0,0
0.188828330,1,0
0.191676980,1,1
0.194021380,0,1
0.197056730,0,0
0.199187350,1,0
0.202553100,1,1
0.204283100,0,1
0.206803280,0,0
0.209493460,1,0
0.213535650,0,0
0.217949820,0,1
0.219074250,1,1
0.222272880,1,0
0.224358560,0,0
0.227793910,0,1
0.229529000,1,1
0.232105520,1,0
0.233646230,0,0
0.237588760,0,1
0.239026890,1,1
0.241916040,1,0
0.244161520,0,0
0.247518780,0,1
0.249675170,1,1
0.252957020,1,0
0.253622120,0,0
0.257375640,0,1
0.258941450,1,1
0.262785320,1,0
0.264287260,0,0
0.267409230,0,1
0.269465580,1,1
0.273063550,1,0
0.273395210,0,0
0.277361270,0,1
0.278845950,1,1
0.282831830,1,0
0.284157580,0,0
0.287396620,0,1
0.289450190,1,1
0.292835190,1,0
0.294739880,0,0
0.297118950,0,1
0.299202630,1,1
0.302496570,1,0
0.304312320,0,0
0.308008010,0,1
0.308517640,1,1
0.312308150,1,0
0.313742370,0,0
0.317839900,0,1
0.318998100,1,1
0.321885560,1,0
0.327709280,1,1
0.328159230,0,1
0.329861140,1,1
0.331761660,1,0
0.333782760,0,0
0.337257720,0,1
0.339072290,1,1
0.342687090,1,0
0.344300690,0,0
0.347507450,0,1
0.349636330,1,1
0.352913780,1,0
0.353344410,0,0
0.357064670,0,1
0.358786070,1,1
0.362480490,1,0
0.364084690,0,0
0.366825670,0,1
0.369338730,1,1
0.372427890,1,0
0.373390690,0,0
0.377950490,0,1
0.378894870,1,1
0.382300150,1,0
0.384140850,0,0
0.387832080,0,1
0.389422290,1,1
0.392137040,1,0
0.394813100,0,0
0.398076530,0,1
0.399174480,1,1
0.402146200,1,0
0.404271460,0,0
0.407647320,0,1
0.408481730,1,1
0.411928120,1,0
0.413561590,0,0
0.417418770,0,1
0.418915640,1,1
0.421822050,1,0
0.424086590,0,0
0.427470580,0,1
0.429497000,1,1
0.432899730,1,0
0.433518630,0,0
0.437258420,0,1
0.438939210,1,1
0.442741040,1,0
0.444093050,0,0
0.447560090,0,1
0.449308350,1,1
0.452985370,1,0
0.454602190,0,0
0.457160030,0,1
0.458763150,1,1
0.462612180,1,0
0.463869760,0,0
0.467451110,0,1
0.469369700,1,1
0.472899710,1,0
0.473540190,0,0
0.477281810,0,1
0.478977730,1,1
0.482496950,1,0
0.484211590,0,0
0.486825510,0,1
0.489529920,1,1
0.492361510,1,0
0.493446090,0,0
0.497880500,0,1
0.498958810,1,1
0.502163950,1,0
0.504097300,0,0
0.507677830,0,1
0.511952310,0,0
0.512129130,1,0
0.515027140,0,0
0.517451210,0,1
0.519216320,1,1
0.521846790,1,0
0.524480070,0,0
0.527494010,0,1
0.528492830,1,1
0.531833940,1,0
0.533595450,0,0
0.537360120,0,1
0.539190240,1,1
0.542020790,1,0
0.544659180,0,0
0.547655080,0,1
0.548836710,1,1
0.553079430,1,0
0.554111430,0,0
0.557421990,0,1
0.559299880,1,1
0.562841590,1,0
0.563441090,0,0
0.567487360,0,1
0.568727420,1,1
0.572884050,1,0
0.573816360,0,0
0.577225360,0,1
0.579075310,1,1
0.582617270,1,0
0.584439180,0,0
0.588144210,0,1
0.588655740,1,1
0.592207660,1,0
0.595140170,0,0
0.598064210,0,1
0.599342350,1,1
0.602131170,1,0
0.604643070,0,0
0.607554920,0,1
0.608667300,1,1
0.611881950,1,0
0.613774370,0,0
0.617429800,0,1
0.618992290,1,1
0.621802410,1,0
0.627651000,1,1
0.628099220,0,1
0.629779690,1,1
0.632886850,1,0
0.633695510,0,0
0.637233510,0,1
0.638963140,1,1
0.642699210,1,0
0.644282930,0,0
0.647524420,0,1
0.649631120,1,1
0.652918110,1,0
0.653563960,0,0
0.657271020,0,1
0.658968060,1,1
0.662477740,1,0
0.664102530,0,0
0.667349000,0,1
0.669293800,1,1
0.672791720,1,0
0.674595140,0,0
0.677125220,0,1
0.679088840,1,1
0.682529920,1,0
0.684327540,0,0
0.688059530,0,1
0.689488230,1,1
0.692114070,1,0
0.694850920,0,0
0.697600910,0,1
0.699031890,1,1
0.701891140,1,0
0.704220460,0,0
0.707518030,0,1
0.708469730,1,1
0.711779750,1,0
0.713709860,0,0
0.717287100,0,1
0.719207910,1,1
0.722717100,1,0
0.724473410,0,0
0.727669170,0,1
0.728685900,1,1
0.733100530,1,0
0.733781460,0,0
0.737274210,0,1
0.739172840,1,1
0.742870050,1,0
0.745547730,0,0
0.747490780,0,1
0.749695090,1,1
0.752921420,1,0
0.755034980,0,0
0.757301080,0,1
0.760217950,1,1
0.762512950,1,0
0.764392830,0,0
0.767361930,0,1
0.769719680,1,1
0.772853770,1,0
0.774863190,0,0
0.777167100,0,1
0.778949540,1,1
0.782586450,1,0
0.784198380,0,0
0.788100990,0,1
0.789630220,1,1
0.792378870,1,0
0.794998120,0,0
0.797993100,0,1
0.799293460,1,1
0.802270700,1,0
0.804504330,0,0
0.807765590,0,1
0.808517540,1,1
0.811850410,1,0
0.813622930,0,0
0.817355080,0,1
0.819184600,1,1
0.823275180,1,0
0.824288460,0,0
0.827718700,0,1
0.829460520,1,1
0.831977660,1,0
